image_link,group_id,entity_name,entity_value,tesseract,doctr,easyocr,kerasocr,ensemble_output
https://m.media-amazon.com/images/I/51o4gQkQ9aL.jpg,514726,depth,20.0 inch,"Size Chart Designed for 13x18 14x 19, 12 x 16 (loose fit) toddler pillow or travel pillow","Size Chart n 14 20 in Designed for 13x18 14x19,12x16 (loose fit) toddler pillow or travel pillow","Size Chart in 14 in 20 Designed for 1 3x18 14*19, 12 * 16 (loose fit) toddler pillow or travel pillow",size chart in 14 in 20 designed 1 3x18 for loose fitl 199 12x16 14x toddler pillow travel pillow or,"Size Chart n 14 20 in Designed for 13x18 14x19,12x16 (loose fit) toddler pillow or travel pillow"
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,1.06” 0.39”,"PRODUCTSIZE 1.06"" 0.39""","PRODUCT SIZE 1.06"" 0.39""",product size 1061 0391,1.06” 0.39”
https://m.media-amazon.com/images/I/614fQWV4ciS.jpg,630869,depth,80.0 millimetre,"i ! 1 ! ' Inches 10mm 20mm 30mm 40mm 50mm 60mm 70mm 80mm mm 10mm 20mm 30mm 40mm 50mm 60mm 70mm 8g0mm mm ida u.h, ella idada tiki",5 5 S - S S : - S a - - TEEEES C E - - 10mm 20mm 30mm 40mm 50mm 60mm 70mm 80mm mm Inches - 4 1I,1 1 1 0 ! { 2 1 1 1Omm 20mm 30mm 40mm 5Omm 60mm 7Omm 80mm mm Inches,s a s s s s s s s ss s e 1omm 2omm 3omm 4omm somm gomm zomm somm mm inches,1 1 1 0 ! { 2 1 1 1Omm 20mm 30mm 40mm 5Omm 60mm 7Omm 80mm mm Inches
https://m.media-amazon.com/images/I/51CWmFleLGL.jpg,941818,depth,27.0 centimetre,~ DIMENSIONS - Suitable For Most Toilet Paper Roll _ ™'“ e2ini27om 3.93in 10cm 40 N __ 3.93in 10cm,"DIMENSIONS Suitable For Most Toilet Paper Roll 10.62in 27cm 3.93in 10cm 3.93in 10cm 5.11in 13cm 5,11in 13cm",DIMENSIONS Suitable For Most Toilet Paper Roll 10_ 3 .93in 1Ocm 3.93in 1Ocm 5. 5 62in 27cm 1in 13cm 1in 13cm,dimensions suitable roll for most toilet paper gbinllocm 62inizzcm 3 10 31 gbinllocm 511in113cm 511in113cm,"DIMENSIONS Suitable For Most Toilet Paper Roll 10.62in 27cm 3.93in 10cm 3.93in 10cm 5.11in 13cm 5,11in 13cm"
https://m.media-amazon.com/images/I/51VS9HUBpBL.jpg,358831,depth,1.06 inch,1.06” 0.39”,"PRODUCTSIZE 1.06"" 0.39""","PRODUCT SIZE 1.06"" 0.39""",product size 1061 0391,1.06” 0.39”
https://m.media-amazon.com/images/I/61DiLVxBVbL.jpg,675317,depth,2.75 inch,"Door Thickness: 35 to 45 mm NS -3 8""to 1-3 4"") Adjustable Latch with = 2-3 8""or 2-3 4"" (60 or 7Omm) backset","Door Thickness: 35 to 45 mm (1-3 8""to 1-3 4"") A Adjustable Latch with 2-3 8""or 2-3 4"" (60 or 70mm) backset","Door Thickness: 35 to 45 mm (1-3 8""t0 1-3 4"") Adjustable Latch with 2-3 8""or 2-3 4"" (60 or 7Omm) backset '(65mm) 2-5 8""( 4-7 10""(119mm)",door thicknesst 35 45 to mm 1318t0 13149 65mml 25181 4710119mml adjustable latch with 23180r 2314 60 zomml backset or,"Door Thickness: 35 to 45 mm NS -3 8""to 1-3 4"") Adjustable Latch with = 2-3 8""or 2-3 4"" (60 or 7Omm) backset"
https://m.media-amazon.com/images/I/51N2V8Hem6L.jpg,156839,depth,19.0 centimetre,1cm 0.4inch,1cm 0.4inch c C,Icm O 4inch 19cm 7. 4inch,icmloainch 19cml ainch,1cm 0.4inch c C
https://m.media-amazon.com/images/I/41NRgWsF5EL.jpg,658892,depth,8.3 inch,,8.3 II,II 85,83,8.3 II
https://m.media-amazon.com/images/I/614KSw47IvL.jpg,784538,depth,13.6 inch,"13.6""","13.6"" 4.2"" 3.3""","13.6 4.2"" 3.3""",13 61 31 3 421,"13.6"""
https://m.media-amazon.com/images/I/516fOC29j+L.jpg,881883,depth,71.37 inch,15.5inches (40cm ) a Meteor) eR 71.37inches (181cm ) 4 } 4 DIMENSIONS Y AFTER HANGING 34inches (86cm ) *Color may differ depending on which device you're viewing on.,15.5inches (40cm ) Pna - 15 zu un . 71.37inches (181cm) - DIMENSIONS AFTER HANGING 34inches (86cm) *Color may differ depending on which device you're viewing on.,70 6 7 15.Sinches 4Ocm ) 71.37inches (181cm ) DIMENSIONS AFTER HANGING 34inches 86cm ) #Color may differ depending on which device you're viewing on_,155inches 4ocm d 71bzinches 181cm dimensions after hanging bainches he ee 6cm color differ depending which device viewing you re may on ons,70 6 7 15.Sinches 4Ocm ) 71.37inches (181cm ) DIMENSIONS AFTER HANGING 34inches 86cm ) #Color may differ depending on which device you're viewing on_
https://m.media-amazon.com/images/I/51XTElvZ4PL.jpg,713791,depth,4.7 inch,O ON & Be 3.1 in 8.0 cm 4.7 in 12cm,4.7 in 12 cm + - 3.1 in 8.0 cm,4.7 in 12 cm 3.1 in 8.0 cm,12 47 in l cm on si 80 31 in l cm,4.7 in 12 cm 3.1 in 8.0 cm
https://m.media-amazon.com/images/I/615szmmtuhL.jpg,784538,depth,24.0 inch,,24inch sum 16inch - - f a 41,24inch sum I6inch,24inch sum 16inch,24inch sum I6inch
https://m.media-amazon.com/images/I/61AWQHsV+XS.jpg,483370,depth,8.0 inch,,- - 9in 8in,9 in 8 in,gin 8in,9 in 8 in
https://m.media-amazon.com/images/I/414i+KmnbTL.jpg,764618,depth,15.0 centimetre,11.8in 30cm 5.9in 15cm,5.9in 15cm 11.8in 30cm,5.9in] 15cm 11.8in 30cm,59inl 15cm 1l8inl3ocm,5.9in] 15cm 11.8in 30cm
https://m.media-amazon.com/images/I/519LbAygXTL.jpg,323811,depth,105.0 millimetre,,- 5 W 105mm 4 - 75109 2099,105mm 8 75mm 2 Omm,s t g 105mm 75mm 2omm,105mm 8 75mm 2 Omm
https://m.media-amazon.com/images/I/51QU6GSs88L.jpg,667819,depth,150.0 millimetre,,60 50 70 80 STAILESS 90 STEEL 10 100 20 30 40 150mm 150,60 50 70 80 90 10 20 30 40 STAINLESS STEEL 100. 150mm 150,60 50 zo 80 stainless 90 steel 10 100 20 30 40 15omm 150,60 50 zo 80 stainless 90 steel 10 100 20 30 40 15omm 150
https://m.media-amazon.com/images/I/41hVyZ-PKzL.jpg,681045,depth,150.0 millimetre,150) 150mm ——_> 10mm- SOQ o85mm oO —=——8 lmm——— 040mm—~_ oO O 150mm 10mm. 10mm—~_ 150),50mm 010mm 85mm 8lmm 040mm 150mm 010mm 85mm 85mm 81mm 81mm 010mm 150mm 150mm 150mm 150mm,50mn 010mm -85mm 8 Imm 040mm 150mm 0]Omm -85mm- -8Smm -8 1mm -8 Imm 010mm 150mm 150mm -150mm 50mm,lsomm oiomm ssmm slmm oaomm isomm oiomm ssmm ssmm slmm slmm oiomm isomm isomm lsomm lsomm,150) 150mm ——_> 10mm- SOQ o85mm oO —=——8 lmm——— 040mm—~_ oO O 150mm 10mm. 10mm—~_ 150)
https://m.media-amazon.com/images/I/61EktxCt3aL.jpg,752266,depth,7.7 inch,DY=\aaysyarsielatss Solid Base 7.7inch rotatable head E26 Base Baking Paint Shade aa Plastic Fixing Ring 5.5 inch,Demensions Solid Base 7.7inch rotatable head E ? E26 Base Baking Paint Shade Plastic Fixing Ring 5.5 inch,Demensions Solid Base 7.7inch rotatable head f E26 Base Baking Paint Shade Plastic Fixing Ring 5.5 inch,demensions solid base z zinch rotatable head s v e26 base shade baking paint plastic fixing ring 55 inch,Demensions Solid Base 7.7inch rotatable head E ? E26 Base Baking Paint Shade Plastic Fixing Ring 5.5 inch
https://m.media-amazon.com/images/I/61439+4VLxL.jpg,359286,depth,875.0 millimetre,WW QO?,875 mm KALASHNIKOV 2 0 3,875 mm Klsiicor 8 3,875 mm siinia o 0 s,875 mm Klsiicor 8 3
https://m.media-amazon.com/images/I/31F6d-5j00L.jpg,434825,depth,5.0 inch,"5""","5"" 5""","5"" 5""",511 51,"5"" 5"""
https://m.media-amazon.com/images/I/51hSAmSDUUL.jpg,681445,depth,12.0 centimetre,20cm 14cm,20cm 12cm 1.5cm 14cm,20cm 12cm 1.5cm 14cm,20cm 12cm 15cm 14cm,20cm 14cm
https://m.media-amazon.com/images/I/617c6sRzhiL.jpg,300630,depth,12.0 inch,PLASTIC INKING SHEETS 005 inch : PLASTIC FILM i) ‘ : 25sheets Qin.X12in. = _ Transparent table (lays fat) Tear Resistant H evinced INIQ,"Gofk impress print media. Se INKING PALETTE PLASTIC INKING SHEETS WORKS WITH 41 TECHNIQUES PRINTING .005 inch : PLASTIC FILM BLOCK PRINTING of 1 pad clear MONOPRINTING STAMPING A 25 sheets 9in. X 12in. HANDI PAINTING Grafixe Inking Palettes are as smooth, nonporous, disposable plastic sheet that is quick and to use. Sheets are att two ends to curling when ink with abrayer. are E convenient and for Clean tear the sheetf from the pad eny finished dand ast Transparent Stable flat) Tear e Economical",impressjJgriedia INKING PALETTE PLASTIC INKING SHEETS WORKS WITH 4 PIOUG [005 inch PLASTIC FILM BlOCK PRINTING pad MONOPRINTING 25 sheets 9in.X 12in. clear HASD PPWGNG Grafixe Inking Palettes are smooth; nonporous disposable plastic sheet that s quick and easy t0 use Sheets are gummed at two ends t0 prevent curling when rolling brayer They are convenient and ideal tor easy ciean up ust tedr Ine sheet Irom tne pad whan tinished and discar Transparent Stable (lays Ilat) Tear Resistant Economilcal; Gath,grafix mridia impress inking palette plastic inking sheets works with printing 4 techniques 005 inch plastic film block printing monoprinting pad 1 stamping gin 121n clear x 25 sheets hand painting grafixs inking palettes smooth are a nonporous disposable astic sneet that quick and p s easy o sheets use gummed al wo ends o prevent are curing when rolling with brayer they ns a are convenient and deal or tear easy clean up jusit he sheet trom the finished pad wnen and iscard transparent sable lays flat tear resistant economical,PLASTIC INKING SHEETS 005 inch : PLASTIC FILM i) ‘ : 25sheets Qin.X12in. = _ Transparent table (lays fat) Tear Resistant H evinced INIQ
https://m.media-amazon.com/images/I/51r8saKObJL.jpg,130202,depth,30.0 centimetre,,Size - 3 30cm 12 inch,Size 3 30cm 12 inch,size s s 3ocml12 inch,Size 3 30cm 12 inch
https://m.media-amazon.com/images/I/611iMfdc3oL.jpg,992107,depth,495.0 millimetre,300mm 11.81in 495mm 19.48in Suitable for Book thickness 0.3~3cm 0.1~1.18in Book size applicable to the cover A4 210mm x 297mm 8.26 x 11.69in,E - e - 495mm 19.48in Suitable for Book thickness 0.3-3cm 0.1-1.18in Book size applicable to the cover A4 210mm X 297mm 18.26 X 11.69in,1 1 495mm 19.48in xSuitable for Book thickness 0.3~3cm 10.1~1.18in Book size applicable to the cover A4 210mm x 297mm 8.26 x 11.69in,s te e 495mm1948in xsuitable for thickness o343cm book 10141181n applicable book size the to cover 210mm 29imm a4 x 1169in 1826 x,E - e - 495mm 19.48in Suitable for Book thickness 0.3-3cm 0.1-1.18in Book size applicable to the cover A4 210mm X 297mm 18.26 X 11.69in
https://m.media-amazon.com/images/I/51qhxUpv0QL.jpg,530124,depth,10.0 inch,10 IN,8.5 IN 10 IN,8.5 IN 10 IN,815 in 10 in,815 in 10 in
https://m.media-amazon.com/images/I/51jAWAyse2L.jpg,823083,height,19.5 centimetre,19.5cm 7.67in 7com 2.75in,- a 7cm 2.75in,1 7cm 2.7Sin,o icmrisin,19.5cm 7.67in 7com 2.75in
https://m.media-amazon.com/images/I/513hsqynHwL.jpg,838598,height,16.7 centimetre,Dragonfly Size: Approx. 16.7cm 6.57in,6 Dragonfly Size: Approx. 16.7cm 6.57in,Dragonfly Size: Approx; 16.7cm 1 6.57in,sizer dragonfly approx 657in 16zcm l,Dragonfly Size: Approx. 16.7cm 6.57in
https://m.media-amazon.com/images/I/6161hUSWpAL.jpg,468949,height,2.0 metre,BAGNOXX ©. UV- late)ai=-MlUlel lines LeX-S1Ke [ale [e) 2m 09cm ee 08cm S ! ee ? flexible Kelate(=Jey(e) GréRen- folalexersulare} Icom (Clleksisinela <> smaalanl,"BAGNOA 2 - m -0 UV- hohe Qualitat bestandig 0,9 cm o - - 0,8 cm flexible langlebig GroBen- anpassung 1 cm Glasstarke 8 mm","BAGNOYY 2 m UV = hohe Qualitat bestandig 0,9 cm O 0,8 cm flexible langlebig Groken- anpassung 1cm Glasstarke 8 mm",bagnoyy 2m hohe qualitat uvs bestandig o 9 cm o 08 cm flexible langlebig griolsent anpassung lcm glasstarke 8 mm,"BAGNOYY 2 m UV = hohe Qualitat bestandig 0,9 cm O 0,8 cm flexible langlebig Groken- anpassung 1cm Glasstarke 8 mm"
https://m.media-amazon.com/images/I/615wTBV8I-L.jpg,901135,height,85.0 millimetre,esWindnll + a yc 85 mm SRT ER LE IE,Mindmill BC 85 mm E1J 24 mm PE 35 mm TT Ih 711,Windmill 1 64 85 mm 524J 24 mm m5 35 mm ##W#e#K1,ee windmill a et 85 mm 24 eflt mm 35 me mm metane,ee windmill a et 85 mm 24 eflt mm 35 me mm metane
https://m.media-amazon.com/images/I/517w+3VdPuL.jpg,916768,height,3.0 inch,Hight 5 cm Hight 3 inches Width 8 inches 20 cm,Hight 5 cm Hight 3 inches AE 4x - a - Width 8 inches - 20 cm,Hight 5 cm Hight 3 inches Neeos 8 6 Width 8 inches 20 cm The _ 2,hight 5 cm hight 3 inches neeos tr the r sdas width 8 20 inches l cm,Hight 5 cm Hight 3 inches Width 8 inches 20 cm
https://m.media-amazon.com/images/I/41iKGbXwI7L.jpg,752266,height,500.0 millimetre,3 .6mm > CSS) 1 8mm 500mm,37.6mm 8mm 500mm,37.6mm 18mm 500mm,37 omm emm 1 soomm,37.6mm 8mm 500mm
https://m.media-amazon.com/images/I/51yxd8kZ3-L.jpg,970563,height,30.0 centimetre,"12"" 30cm 3.15"" 8cm","12"" 30cm . 3.15"" 8cm","12"" 30cm 3.15"" 8cm L",1213ocm sae 31518cm,"12"" 30cm 3.15"" 8cm"
https://m.media-amazon.com/images/I/41VSGrlRwgS.jpg,403664,height,10.5 centimetre,"Hohe: 10,5 cm Durchmesser: 3,8 cm 40 ml 50 ml","Hohe: 10,5 cm Durchmesser: 3,8 cm E E 0 9","Hohe: 10,5 cm Durchmesser: 3,8 cm 8 8",hoher 100 durchmesser 5 3 8 cm cm e 8 s,"Hohe: 10,5 cm Durchmesser: 3,8 cm 8 8"
https://m.media-amazon.com/images/I/41VU78cbfbL.jpg,387046,height,20.0 inch,42 Inches 20 Inches,42Inches 24 Inches 20 Inches -,42 Inches 24 Inches 20 Inches,inches 42 24 inches 20 inches,42 Inches 20 Inches
https://m.media-amazon.com/images/I/610BflN7H0L.jpg,478357,height,25.1 inch,25.1in Power cable: 6.5ft,11.4in 15.4in 25.1in 26.4in Power cable: 6.5ft,15_ 25.1in 26.4in Power cable: 6.5ft 11.4in- 4in,e1141n 154n 26 ain 25 1in power cable 6 5ft,25.1in Power cable: 6.5ft
https://m.media-amazon.com/images/I/51pfci0RTfL.jpg,589105,height,4.0 inch,,"WARNING To avoid danger of suffocation keep this wrapper away from babies and children. ZU JHRER SICHERHEIT Um Erstickungsgetahren: vorzubeugen, halten Sie die Schutzhulle fern von Ihren Kindern. ATTENTION Pouréviter touto danger de: surrocation, tenez cete emballage plastigue hors de la portée des enfants. ATTENZIONE! Perevitare di soffocamento non consentite acile bambini dig giocare con questag guaina dip plastica. WAARSCHUWING Houdto deze plastic zak uit de buurt van babies ent kinderen. I.V.M. mogelijk versikkingsgevaart 04 PE-LD","WaRNiNG Jo av0id danper suHacalo"" kecp thiz Wrapper awayhom at children Zu Ihrer SicherHeiT Un Cnickendsnelatn vorzubeletn hallen 5i2 0i6 Scauzhud aEnon ndem ATTENTICN Pol RviegJqui damcer suttocaiion enez Celem39 ace plasiique hors uree Des entants ATTENZIONEI Pei evhlara somocamento non consenile Damdini gio care quast plastic1 WAARSCHUWINGE Fomoi deramaen LAl buurt Yan ba baes e3 kinderen LVM mogelijk versikkne*0en PELD 'paricolo 704t",warning ot sufocslet o avold denger lom keep hie waoper swey children la dies and sichermet crer zu vorzubelten um erstick ngspetahen v sie schutehulle fefn hailen cle tet sindem hren attention danger de surocaton pour cviter loul hors tenel emealage plasigue de cel entants la portte des attenzionel per pencolo dl soifocamento outere consenlle bambini non al al glocare plastica con ouesta guata o waarschuwingl moudt ce geze plasic zak uit duurt van dables iva en anderen mogelil verslsningegeal 10a peld,"WaRNiNG Jo av0id danper suHacalo"" kecp thiz Wrapper awayhom at children Zu Ihrer SicherHeiT Un Cnickendsnelatn vorzubeletn hallen 5i2 0i6 Scauzhud aEnon ndem ATTENTICN Pol RviegJqui damcer suttocaiion enez Celem39 ace plasiique hors uree Des entants ATTENZIONEI Pei evhlara somocamento non consenile Damdini gio care quast plastic1 WAARSCHUWINGE Fomoi deramaen LAl buurt Yan ba baes e3 kinderen LVM mogelijk versikkne*0en PELD 'paricolo 704t"
https://m.media-amazon.com/images/I/51N0OXX5liL.jpg,524117,height,16.0 centimetre,utg 9 Wogl,8 - 25cm PAe 9.84in gcn,8 9 6 01. 9. 48in 25cm 19cm 84in,s 0 e a8in 17 25cm 9 1gcm 8ain,s 0 e a8in 17 25cm 9 1gcm 8ain
https://m.media-amazon.com/images/I/51R2Fj6vCsL.jpg,478357,height,75.0 centimetre,"PRODUCT SIZE o 44cm 17.3"" s) of N 5 3 “I 2 1 . “ = u 2 3 w “ ifs 3 1 rr} a nn (exelatehitera) Brand-new Mesias Modern Type Side table Rectangle levelfelay §=White Material MDF",PRODUCT SZE 44cm 17.3 A S I I Condition Brand-new Style Modern Type Side table Shape Rectangle Color White Material MDF,"PRODUCT SIZE 44cm 17.3"" 1 1 L Condition Brand-new Style Modern Type Side table Shape Rectangle Color White Material MDF 1",product size 38cm157 44cml1z61 side table condition style modern type brandnew material shape color white rectangle midf,product size 38cm157 44cml1z61 side table condition style modern type brandnew material shape color white rectangle midf
https://m.media-amazon.com/images/I/51nlCEOkJLL.jpg,599317,height,10.0 centimetre,8cm 150cm 10cm,8cm - 150cm - D 4.4cm- 9.3cm 10cm,8cm 0 150cm F4.4cm - 9.3cm 1Ocm,d 8cm g 150cm re aacm h ae 9 3cm 1ocm,8cm 150cm 10cm
https://m.media-amazon.com/images/I/61BQ5PY+ziL.jpg,640408,height,25.0 centimetre,"22 02 630 mi 9.84in 25CM 2.92in 7.5CM 1.84in 4.7 om , Diameter of cup mouth 2.9in 7.5cm Diameter of cup bottom",22oZ 650 m 8 8 1.84in 4.7 cm Inside width of handle - 3 2.25in 5.7 cm Diameter of cup mouth 2.9in 7.5cm 2.92in 7.5CM Diameter of cup bottom,22 02 7 650 ml 53 1.84in 4.7 cm Inside width of handle 3 3 2.25in 5.7 cm Diameter of cup mouth 2.9in 7.Scm 2.92in 7.5CM Diameter of cup bottom,22 660 ml oz i s s 184n147 cm inside width of handle g s 2251n157 cm diameter of mouth cup 29inlz5cm 292iniz5cm diameter of bottom cup,"22 02 630 mi 9.84in 25CM 2.92in 7.5CM 1.84in 4.7 om , Diameter of cup mouth 2.9in 7.5cm Diameter of cup bottom"
https://m.media-amazon.com/images/I/61FE1oSTXHL.jpg,483370,height,17.0 centimetre,,SIZE 17cm,SIZE I7cm,size 17cm,SIZE 17cm
https://m.media-amazon.com/images/I/61Dx0eKBHsL.jpg,830996,height,10.0 inch,Cold kettle in the fridge Turn on the tap to enjoy a cold drink,Cold kettle in the fridge Turn on the tap to enjoy a cold drink e : E 49 y High capacity 3.5L Cost-effective outfit,Cold kettle in the Turn on the tap to enjoy a cold drink 0 0) #A High capacity 35L Cost-effective outfit fridge 08r 088 rTW ejieiet> >,cold the fridge kettle in cold drink the turn enjoy tap to on a e reon eorat iltte ha itistns high capacity 35l costeffective outfit o,Cold kettle in the fridge Turn on the tap to enjoy a cold drink
https://m.media-amazon.com/images/I/61ALQ0eVQwL.jpg,192915,height,11.4 centimetre,[ _—_______. Wor TT ulg¢:» —————_——__ PRODUCT DIMENSIONS . 4 = 8 H——— 2.76in 7c¢m ———J,PRODUCT DIMENSIONS U - 2.76in 7cm,PRODUCT DIMENSIONS 0 3 2.76in 7cm,product dimensions n b s 276inlicm,product dimensions n b s 276inlicm
https://m.media-amazon.com/images/I/51bLRqq6poL.jpg,312608,height,60.75 inch,"Height: 60.75” Width:42” Depth: 81.25” Weight: 160lbs +<——_ 42"" —__» 60.75” 81.25” © Copyright Ashley Furniture Industries","Height: 60.75"" Width: 42"" Depth: 81.25"" Weight: 160lbs 42"" 60.75"" 81.25"" Copyright Ashley Furniture Industries","Height: 60.75"" Width: 42"" Depth: 81.25"" Weight: 160lbs 42"" 60.75"" 81.25"" Copyright Ashley Furniture Industries",height 600 751 width 421 depth 81251 weight 16olbs 421 e 60751 8125 copyright ashley industries c furniture,height 600 751 width 421 depth 81251 weight 16olbs 421 e 60751 8125 copyright ashley industries c furniture
https://m.media-amazon.com/images/I/51Idy6tB2IL.jpg,963595,height,10.0 centimetre,,- - - - - E pPP PPA e - PP PPA - - MA - - e PPP ee P PP PPPPP 9 a PA PPPRE 9 PPPPR 6 - e PA - a APe 10.5cm,8 10Scm,e 1o5cm,8 10Scm
https://m.media-amazon.com/images/I/4111n7UTRLL.jpg,178778,height,4.13 inch,PRODUCT SIZE 11.02 in 28 cm,PRODUCT - SIZE 4.13 in 10.5 cm (y 11.02 in 28 cm,PRODUCT SIZE 4.13 in 10.5 cm 11.02 in 28 cm,product size 13 105 44 in l cm 1102 in 28 i cm,PRODUCT SIZE 4.13 in 10.5 cm 11.02 in 28 cm
https://m.media-amazon.com/images/I/61DD8wKwWzL.jpg,237000,height,50.0 centimetre,"63""x45.28""x19.69"" 160x115x50cm Foosball Table Cover y =.",3X45.28x19.69 160x115x50cm Fooshal Table Cover,"63""x45.28""x19.69"" 160x115x50cm Foosball Table Cover",63x4528x1769 160x115x50cm cover foosball table,63x4528x1769 160x115x50cm cover foosball table
